cd_setor;nm_dist;qt_pessoas;area_km2;qt_crimes;tx_crimes_1000_hab;log_tx_crimes_1000_hab;indice_infraestrutura_urbana;indice_mobilidade_urbana;indice_caminhabilidade;indice_vulnerabilidade_urbana;log_renda_media;densidade_populacional
355030805000155;Artur Alvim;264;0.0114776;0;0.0;0.0;0.9098039215686274;0.2;0.7568627450980392;0.013957219251336911;7.716233602876797;23001.324318672894
355030805000166;Artur Alvim;223;0.0129377;4;17.937219730941703;2.941129283473825;0.7048192771084337;0.0;0.44176706827309237;0.09785668991756499;7.541709624729263;17236.448518670244
355030805000169;Artur Alvim;560;0.0187805;15;26.785714285714285;3.3245220140031875;0.9497607655502392;0.0;0.8628389154704944;0.015859030837004406;8.006257561599803;29818.162455738668
355030805000190;Artur Alvim;405;0.0135923;0;0.0;0.0;0.8333333333333334;0.5;1.0;0.21513513513513516;8.075050613368374;29796.281718325816
355030805000191;Artur Alvim;272;0.0057743;0;0.0;0.0;0.8333333333333334;0.5;0.6666666666666666;0.018487394957983194;8.127980297693743;47105.27683009196
355030805000201;Artur Alvim;382;0.0513146;8;20.942408376963353;3.088421219878442;1.0;0.5;0.6666666666666666;0.01111111111111111;8.19970874039394;7444.275118582235
355030805000226;Artur Alvim;349;0.0136294;15;42.97994269340974;3.783733682110981;0.710955710955711;0.26573426573426573;0.42191142191142195;0.22222222222222224;8.237116789056174;25606.40967320645
355030805000229;Artur Alvim;488;0.0217316;1;2.0491803278688527;1.11487280953989;0.6937751004016065;0.0;0.4497991967871486;0.11517277902820071;7.560059631471477;22455.77868173535
355030805000246;Artur Alvim;461;0.0294235;7;15.184381778741864;2.7840466894748657;0.7544910179640718;0.09281437125748503;0.47305389221556887;0.06146925660873376;7.900321631960584;15667.74856832124
355030805000250;Artur Alvim;494;0.0274044;0;0.0;0.0;0.9238921001926782;0.0;0.5144508670520231;0.007650273224043716;7.963028519116803;18026.302345608736
355030806000030;Barra Funda;324;0.0076616;0;0.0;0.0;;0.0;;0.211;9.331581421803858;42288.816957293515
355030806000059;Barra Funda;338;0.0031659;1;2.9585798816568047;1.375885345205155;0.6666666666666666;0.0;0.6666666666666666;0.017117117117117116;8.665751118057383;106762.68991440033
355030806000083;Barra Funda;193;0.0122887;5;25.906735751295336;3.2923766549394333;0.8348214285714285;0.0;0.3988095238095238;0.026470588235294117;9.268275262058191;15705.4855273544
355030807000042;Bela Vista;267;0.0111805;1;3.745318352059925;1.5571585219208894;0.994910941475827;0.0;1.0;0.05747299044758688;8.723833307111367;23880.86400429319
355030807000062;Bela Vista;402;0.0073367;4;9.950248756218905;2.393362173467386;0.8333333333333334;0.0;0.6666666666666666;0.02542372881355932;8.912982304371088;54793.02683767907
355030807000063;Bela Vista;383;0.0109152;14;36.55352480417755;3.6257672434232435;1.0;0.0;1.0;0.01592920353982301;8.583377856914423;35088.68367047787
355030807000139;Bela Vista;132;0.0042432;2;15.151515151515152;2.7820138626993645;1.0;0.0;0.6666666666666666;0.03561643835616438;8.265086735278345;31108.597285067874
355030807000149;Bela Vista;331;0.0522002;82;247.73413897280966;5.516384611082382;0.908;0.064;0.9333333333333332;0.059893048128342244;9.06330217172568;6340.971873670982
355030807000178;Bela Vista;209;0.0127009;6;28.70813397129187;3.3914208794000817;0.8712121212121212;0.045454545454545456;0.48484848484848486;0.025688073394495414;9.558775058053097;16455.526773693204
355030807000186;Bela Vista;267;0.0032264;1;3.745318352059925;1.5571585219208894;0.8333333333333334;0.0;0.6666666666666666;0.028220858895705518;8.46581357751379;82754.7731217456
355030807000188;Bela Vista;330;0.0065628;0;0.0;0.0;0.8333333333333334;0.0;0.6666666666666666;0.2184049079754601;9.81089846719399;50283.41561528616
355030807000201;Bela Vista;120;0.0087761;4;33.333333333333336;3.5361166995615263;0.99375;0.48125;0.9874999999999999;0.037976190476190476;8.894321923149148;13673.499618281468
355030807000207;Bela Vista;253;0.0534122;162;640.3162055335968;6.46352263565247;0.8333333333333334;0.3672566371681416;0.7905604719764012;0.23378378378378378;8.993294442323403;4736.745537536368
355030807000271;Bela Vista;187;0.0092758;0;0.0;0.0;0.8333333333333334;0.0;0.6666666666666666;0.016;8.49884183052335;20159.986200651154
355030807000306;Bela Vista;125;0.0039503;1;8.0;2.1972245773362196;0.8333333333333334;0.0;0.6666666666666666;0.011881188118811881;8.771830758616211;31643.166341796823
355030807000321;Bela Vista;159;0.0183773;56;352.2012578616352;5.867038030053122;0.8333333333333334;0.1282051282051282;1.0;0.22990654205607478;9.054452350511214;8651.97825578295
355030807000329;Bela Vista;157;0.0022168;2;12.738853503184714;2.6202278410408484;0.8333333333333334;0.0;0.6666666666666666;0.009259259259259259;8.924303611921996;70822.80765066763
355030807000330;Bela Vista;245;0.0031796;0;0.0;0.0;0.8333333333333334;0.0;0.6666666666666666;0.0035294117647058825;9.150143346227518;77053.7174487357
355030807000332;Bela Vista;116;0.003561;1;8.620689655172413;2.2639159518348917;0.8333333333333334;0.0;0.6666666666666666;0.052100840336134456;8.7203886968615;32575.119348497614
355030807000333;Bela Vista;126;0.0047782;0;0.0;0.0;0.8333333333333334;0.0;0.3333333333333333;0.047058823529411764;8.997283280862982;26369.762672135952
355030808000001;Belém;330;0.034016;6;18.18181818181818;2.953962860677696;0.9855072463768115;0.036231884057971016;0.9855072463768115;0.07038719446247024;9.292639915693764;9701.31702728128
355030808000050;Belém;477;0.0333739;5;10.482180293501049;2.44079629389538;0.6017345110087046;0.11559139784946237;0.5431387608806965;0.20723943362078145;8.572236147029212;14292.60589862138
355030808000058;Belém;468;0.0729244;17;36.32478632478633;3.619657618687805;0.9590643274853802;0.26973684210526316;0.9283625730994153;0.030882352941176472;7.598048390559176;6417.605081426793
355030808000075;Belém;915;0.0106865;3;3.278688524590164;1.4536465431493821;1.0;0.0;1.0;0.007667731629392971;9.615000489499682;85622.04650727553
355030808000078;Belém;415;0.0055105;0;0.0;0.0;1.0;0.5;1.0;0.031413612565445025;8.637508130210128;75310.77034751838
355030808000083;Belém;559;0.0075138;5;8.944543828264758;2.29702404179837;0.6666666666666666;0.0;0.6666666666666666;0.20421052631578948;9.387607510022866;74396.44387660039
355030808000106;Belém;627;0.0455663;37;59.01116427432217;4.0945306161516974;0.6537014852314152;0.4192139737991266;0.5708544267109789;0.09203096180221652;9.06235299326161;13760.169247887146
355030808000108;Belém;386;0.006674;5;12.953367875647668;2.6357209039067135;0.8441558441558441;0.0;0.6883116883116882;0.03351351351351352;8.904281135772148;57836.379982019775
355030808000112;Belém;408;0.0676249;23;56.372549019607845;4.049565948855744;0.9292364990689013;0.20111731843575417;0.8696461824953445;0.041493775933609964;8.883371237503416;6033.280640710744
355030808000118;Belém;252;0.0018905;0;0.0;0.0;;0.0;;0.4640000000000001;8.918182966812036;133298.06929383762
